email,name,first option day,second option day,first option night,second option night,notes
staff0@camp.org,Staff Member 0,12/07/2025,10/07/2025,13/07/2025,07/07/2025,
staff1@camp.org,Staff Member 1,11/07/2025,12/07/2025,12/07/2025,11/07/2025,
staff2@camp.org,Staff Member 2,13/07/2025,08/07/2025,09/07/2025,10/07/2025,
staff3@camp.org,Staff Member 3,08/07/2025,09/07/2025,09/07/2025,07/07/2025,Prefers early week
staff4@camp.org,Staff Member 4,11/07/2025,07/07/2025,11/07/2025,12/07/2025,Avoid Wednesdays
staff5@camp.org,Staff Member 5,12/07/2025,07/07/2025,08/07/2025,10/07/2025,
staff6@camp.org,Staff Member 6,08/07/2025,10/07/2025,09/07/2025,07/07/2025,
staff7@camp.org,Staff Member 7,09/07/2025,10/07/2025,13/07/2025,11/07/2025,
staff8@camp.org,Staff Member 8,07/07/2025,08/07/2025,07/07/2025,08/07/2025,Prefers early week
staff9@camp.org,Staff Member 9,08/07/2025,09/07/2025,07/07/2025,09/07/2025,Prefers early week
staff10@camp.org,Staff Member 10,10/07/2025,13/07/2025,13/07/2025,07/07/2025,
staff11@camp.org,Staff Member 11,09/07/2025,07/07/2025,07/07/2025,09/07/2025,Prefers early week
staff12@camp.org,Staff Member 12,09/07/2025,08/07/2025,09/07/2025,08/07/2025,Prefers early week
staff13@camp.org,Staff Member 13,08/07/2025,07/07/2025,07/07/2025,08/07/2025,Prefers early week
staff14@camp.org,Staff Member 14,10/07/2025,12/07/2025,10/07/2025,07/07/2025,
staff15@camp.org,Staff Member 15,07/07/2025,08/07/2025,08/07/2025,09/07/2025,Prefers early week
staff16@camp.org,Staff Member 16,13/07/2025,08/07/2025,13/07/2025,11/07/2025,Avoid Wednesdays
staff17@camp.org,Staff Member 17,08/07/2025,07/07/2025,07/07/2025,09/07/2025,
staff18@camp.org,Staff Member 18,07/07/2025,08/07/2025,09/07/2025,07/07/2025,Prefers early week
staff19@camp.org,Staff Member 19,13/07/2025,10/07/2025,13/07/2025,09/07/2025,Avoid Wednesdays
staff20@camp.org,Staff Member 20,13/07/2025,11/07/2025,11/07/2025,12/07/2025,Avoid Wednesdays
staff21@camp.org,Staff Member 21,09/07/2025,12/07/2025,08/07/2025,09/07/2025,Avoid Wednesdays
staff22@camp.org,Staff Member 22,11/07/2025,10/07/2025,08/07/2025,09/07/2025,
staff23@camp.org,Staff Member 23,10/07/2025,09/07/2025,13/07/2025,09/07/2025,
staff24@camp.org,Staff Member 24,12/07/2025,10/07/2025,11/07/2025,13/07/2025,
staff25@camp.org,Staff Member 25,07/07/2025,08/07/2025,08/07/2025,09/07/2025,Prefers early week
