id,personal email,name,lifeguard certification,archery certification,high ropes certification,fishing proficiency,coverage,department
100,staff0@camp.org,Staff Member 0,Yes,,,,,Program
101,staff1@camp.org,Staff Member 1,Yes,Yes,,Yes,,Program
102,staff2@camp.org,Staff Member 2,,,Yes,,,Mad City
103,staff3@camp.org,Staff Member 3,Yes,Yes,,Yes,,Mad City
104,staff4@camp.org,Staff Member 4,,,Yes,Yes,105,Mad City
105,staff5@camp.org,Staff Member 5,Yes,,Yes,,,Mad City
106,staff6@camp.org,Staff Member 6,,,Yes,,107,Mad City
107,staff7@camp.org,Staff Member 7,Yes,,,Yes,,Mad City
108,staff8@camp.org,Staff Member 8,Yes,,,,,Mad City
109,staff9@camp.org,Staff Member 9,Yes,Yes,,Yes,110,Mad City
110,staff10@camp.org,Staff Member 10,Yes,,,,,Mad City
111,staff11@camp.org,Staff Member 11,,,Yes,Yes,112,Mad City
112,staff12@camp.org,Staff Member 12,Yes,,,,,Tamakwa
113,staff13@camp.org,Staff Member 13,Yes,Yes,Yes,Yes,,Tamakwa
114,staff14@camp.org,Staff Member 14,Yes,,,Yes,115,Tamakwa
115,staff15@camp.org,Staff Member 15,Yes,Yes,,,116,Tamakwa
116,staff16@camp.org,Staff Member 16,Yes,Yes,Yes,Yes,,Tamakwa
117,staff17@camp.org,Staff Member 17,,Yes,Yes,,118,Tamakwa
118,staff18@camp.org,Staff Member 18,Yes,,,Yes,119,Tamakwa
119,staff19@camp.org,Staff Member 19,,,Yes,,120,Tamakwa
120,staff20@camp.org,Staff Member 20,,Yes,Yes,,121,Tamakwa
121,staff21@camp.org,Staff Member 21,Yes,,,Yes,,Tamakwa
122,staff22@camp.org,Staff Member 22,,,,Yes,123,Chippe
123,staff23@camp.org,Staff Member 23,,,,,124,Chippe
124,staff24@camp.org,Staff Member 24,,,,Yes,125,Chippe
125,staff25@camp.org,Staff Member 25,Yes,,Yes,Yes,126,Chippe
126,staff26@camp.org,Staff Member 26,Yes,Yes,,,127,Chippe
127,staff27@camp.org,Staff Member 27,Yes,Yes,,Yes,128,Chippe
128,staff28@camp.org,Staff Member 28,,,Yes,,,Chippe
129,staff29@camp.org,Staff Member 29,,Yes,,,130,Chippe
130,staff30@camp.org,Staff Member 30,,Yes,Yes,,131,Chippe
131,staff31@camp.org,Staff Member 31,Yes,Yes,,Yes,,Chippe
132,staff32@camp.org,Staff Member 32,Yes,Yes,,Yes,133,Chippe
133,staff33@camp.org,Staff Member 33,Yes,Yes,Yes,Yes,,Chippe
134,staff34@camp.org,Staff Member 34,,Yes,,,135,Day Camp
135,staff35@camp.org,Staff Member 35,,Yes,Yes,,,Day Camp
136,staff36@camp.org,Staff Member 36,Yes,Yes,Yes,,,Day Camp
137,staff37@camp.org,Staff Member 37,Yes,Yes,,Yes,,Day Camp
138,staff38@camp.org,Staff Member 38,,Yes,,,139,Day Camp
139,staff39@camp.org,Staff Member 39,,Yes,,Yes,140,Day Camp
140,staff40@camp.org,Staff Member 40,Yes,,,Yes,,Day Camp
141,staff41@camp.org,Staff Member 41,,Yes,Yes,,,Day Camp
142,staff42@camp.org,Staff Member 42,,Yes,Yes,Yes,143,Day Camp
143,staff43@camp.org,Staff Member 43,Yes,Yes,,,144,Day Camp
144,staff44@camp.org,Staff Member 44,,,,,145,Admin
145,staff45@camp.org,Staff Member 45,Yes,,,Yes,146,Admin
146,staff46@camp.org,Staff Member 46,,Yes,,Yes,,Admin
147,staff47@camp.org,Staff Member 47,,Yes,Yes,,,Admin
148,staff48@camp.org,Staff Member 48,,,,,,Admin
149,staff49@camp.org,Staff Member 49,Yes,,,,,Admin
150,staff50@camp.org,Staff Member 50,,,Yes,,,Admin
151,staff51@camp.org,Staff Member 51,Yes,,,Yes,152,Admin
152,staff52@camp.org,Staff Member 52,Yes,Yes,Yes,,,Admin
153,staff53@camp.org,Staff Member 53,Yes,Yes,,Yes,,Admin
154,staff54@camp.org,Staff Member 54,Yes,Yes,,,,Admin
155,staff55@camp.org,Staff Member 55,Yes,Yes,,,,Admin
156,staff56@camp.org,Staff Member 56,,Yes,,Yes,157,Maintenance
157,staff57@camp.org,Staff Member 57,Yes,,Yes,,158,Maintenance
158,staff58@camp.org,Staff Member 58,,Yes,Yes,,159,Maintenance
159,staff59@camp.org,Staff Member 59,Yes,Yes,,Yes,100,Maintenance
